Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%)
sports administrator,it,increasing,low,72348.84,master’s degree,12,9444,3631,34.14,92.67,australia,59.18
"administrator, education",it,increasing,high,111435.38,high school,4,5538,4108,5.78,41.79,germany,73.18
outdoor activities/education manager,transportation,increasing,moderate,139440.38,master’s degree,16,3480,2206,60.2,93.83,china,68.91
technical sales engineer,entertainment,increasing,high,87905.94,high school,4,4328,2697,1.27,87.46,germany,75.25
futures trader,retail,increasing,high,32273.56,master’s degree,9,4423,9720,48.26,97.44,uk,65.75
"programme researcher, broadcasting/film/video",manufacturing,decreasing,high,66845.23,associate degree,9,3777,9701,30.56,69.98,usa,64.4
office manager,healthcare,increasing,moderate,138132.3,associate degree,3,7821,4984,52.82,31.96,usa,21.48
risk manager,transportation,decreasing,high,87242.77,master’s degree,6,5519,7721,33.07,99.93,australia,78.27
"psychotherapist, dance movement",it,decreasing,high,50910.83,master’s degree,12,2298,9349,94.54,26.09,canada,74.08
electronics engineer,transportation,decreasing,high,97671.93,phd,6,5945,7421,44.64,58.93,germany,62.98
"engineer, broadcasting (operations)",healthcare,increasing,high,60750.9,bachelor’s degree,8,4857,7305,1.7,64.11,germany,69.24
associate professor,manufacturing,increasing,low,107734.04,bachelor’s degree,12,2715,4519,69.89,22.31,india,26.42
industrial buyer,education,decreasing,moderate,71367.93,bachelor’s degree,10,1446,8539,83.24,63.06,brazil,71.86
marine scientist,healthcare,decreasing,moderate,61297.26,master’s degree,12,8938,6949,1.83,18.08,uk,29.68
television camera operator,finance,decreasing,low,115338.43,phd,14,3285,7968,9.89,50.61,australia,56.35
statistician,education,increasing,high,120608.63,high school,15,1633,1090,76.39,27.92,canada,76.27
"radiographer, therapeutic",healthcare,decreasing,moderate,90316.14,associate degree,8,1644,5714,24.09,26.03,brazil,61.1
professor emeritus,education,increasing,high,134126.16,associate degree,17,4544,847,41.08,50.73,usa,65.86
rural practice surveyor,it,increasing,low,32132.08,high school,18,1361,2466,87.94,96.6,brazil,44.8
broadcast engineer,finance,decreasing,moderate,138378.47,associate degree,19,1789,6862,21.79,84.83,brazil,28.12
geochemist,finance,increasing,high,87014.07,phd,7,1750,8333,11.92,26.92,india,56.03
holiday representative,entertainment,increasing,low,75483.03,phd,9,2636,6487,82.25,16.58,india,24.7
fisheries officer,it,increasing,low,128623.02,phd,13,1859,6263,39.57,50.84,china,47.53
civil service administrator,it,increasing,low,138412.18,high school,2,6663,2887,90.76,76.08,usa,22.67
film/video editor,manufacturing,decreasing,low,115873.31,high school,19,6981,801,22.96,57.98,germany,68.54
product designer,healthcare,decreasing,high,73910.8,phd,16,3750,2866,93.58,54.53,brazil,65.77
hydrologist,transportation,increasing,low,144323.95,master’s degree,19,4647,6884,58.41,87.1,china,32.99
careers information officer,healthcare,decreasing,low,137705.18,associate degree,12,3300,5251,22.94,5.36,germany,28.26
mudlogger,healthcare,decreasing,low,100234.48,associate degree,12,7453,9558,29.26,51.59,brazil,57.82
"education officer, museum",entertainment,increasing,low,124662.0,master’s degree,1,9393,7491,49.53,83.39,canada,23.17
interpreter,education,decreasing,high,93908.37,phd,1,6827,832,47.52,84.4,usa,38.05
"librarian, academic",education,increasing,moderate,67666.91,phd,19,3072,4986,40.19,58.03,china,29.52
social worker,entertainment,increasing,moderate,48733.88,phd,16,3821,6383,37.76,13.76,germany,27.81
"engineer, structural",entertainment,increasing,high,60294.52,bachelor’s degree,18,6763,7280,13.73,97.36,canada,48.27
set designer,retail,decreasing,high,68794.31,bachelor’s degree,8,5649,9598,7.29,92.48,germany,63.21
tax adviser,entertainment,decreasing,low,46014.0,phd,6,6586,5505,96.13,62.72,usa,74.04
advice worker,education,increasing,low,116809.21,high school,11,104,8950,27.63,26.2,brazil,44.17
higher education lecturer,finance,increasing,low,61175.95,high school,4,9160,3481,72.06,69.63,india,65.87
secretary/administrator,entertainment,decreasing,low,143564.66,phd,18,1420,7988,19.17,72.74,uk,34.41
biomedical engineer,manufacturing,increasing,low,97836.09,master’s degree,4,6350,3920,8.18,4.18,canada,59.48
bonds trader,manufacturing,decreasing,low,118599.32,high school,8,9920,6057,94.65,71.35,brazil,41.56
music tutor,retail,increasing,moderate,30196.43,bachelor’s degree,3,7884,9112,0.31,7.43,australia,20.77
community development worker,manufacturing,increasing,moderate,70541.61,associate degree,20,8797,6055,69.99,26.57,germany,54.26
"biochemist, clinical",it,increasing,low,111867.13,associate degree,2,5775,1893,5.11,24.75,canada,57.57
civil service administrator,retail,increasing,high,37315.3,bachelor’s degree,4,4199,7726,8.32,95.63,australia,54.28
product manager,finance,decreasing,moderate,60728.7,phd,19,4873,9136,20.69,93.81,india,57.77
proofreader,retail,decreasing,low,139918.61,associate degree,4,7741,4434,29.54,62.78,china,21.99
"radiographer, therapeutic",retail,decreasing,high,114132.59,phd,10,4701,9492,36.21,74.26,uk,76.17
"engineer, building services",transportation,increasing,low,139077.97,master’s degree,9,8145,9073,2.74,24.99,india,59.07
"production assistant, television",transportation,increasing,moderate,127661.35,phd,18,9124,418,93.19,54.86,germany,27.65
civil service administrator,education,increasing,moderate,59251.28,master’s degree,13,6752,4737,72.99,37.29,china,22.12
tax adviser,healthcare,decreasing,low,62463.09,master’s degree,15,1183,6912,6.93,17.52,germany,30.35
"librarian, academic",retail,increasing,high,127883.2,high school,10,5345,7273,93.16,1.54,canada,73.8
firefighter,education,increasing,low,66161.29,bachelor’s degree,4,1233,2706,35.59,10.85,germany,72.49
make,transportation,increasing,moderate,100700.52,high school,4,5984,9514,36.4,9.83,uk,65.67
child psychotherapist,manufacturing,increasing,low,90589.29,bachelor’s degree,18,3232,227,73.94,38.66,germany,44.78
lobbyist,retail,increasing,low,99661.48,high school,1,5477,4370,32.06,57.32,brazil,25.81
"investment banker, corporate",it,increasing,low,128406.45,phd,5,8200,4858,66.13,13.47,canada,44.3
product manager,healthcare,decreasing,moderate,135541.91,bachelor’s degree,15,7783,8150,31.74,38.03,germany,60.17
"surveyor, hydrographic",retail,increasing,high,35112.95,master’s degree,3,6932,2811,13.27,3.54,australia,33.11
furniture designer,manufacturing,decreasing,high,128251.18,bachelor’s degree,12,1685,8769,97.84,90.57,india,74.07
diplomatic services operational officer,finance,decreasing,moderate,116901.05,high school,8,3097,2902,71.61,93.91,india,41.28
tourist information centre manager,education,decreasing,moderate,105012.87,master’s degree,4,2768,4701,83.83,96.17,uk,73.73
tax inspector,education,increasing,high,34900.89,master’s degree,16,1313,7191,93.64,59.94,germany,44.16
naval architect,healthcare,decreasing,low,58865.08,phd,12,9085,9710,15.94,3.63,canada,21.67
chartered management accountant,retail,increasing,moderate,77237.84,phd,12,3896,2427,48.02,56.37,china,25.36
it technical support officer,finance,increasing,low,143150.99,master’s degree,14,3278,3375,94.05,23.72,brazil,39.86
web designer,it,decreasing,moderate,71056.14,bachelor’s degree,14,3184,2208,32.08,96.72,canada,35.36
facilities manager,entertainment,increasing,high,139511.07,associate degree,3,7418,4233,57.77,17.72,canada,62.81
television production assistant,education,increasing,low,142878.2,bachelor’s degree,6,3502,5189,12.37,22.61,uk,64.59
health and safety inspector,manufacturing,increasing,moderate,97597.93,bachelor’s degree,4,769,9366,64.02,11.04,canada,75.24
telecommunications researcher,manufacturing,increasing,moderate,73218.84,high school,20,3834,6355,83.55,6.6,uk,37.51
chief technology officer,entertainment,decreasing,moderate,136758.48,associate degree,3,2809,1127,63.51,32.71,brazil,52.92
quarry manager,finance,increasing,high,127409.56,master’s degree,19,8586,6708,91.06,82.63,germany,54.63
occupational psychologist,retail,decreasing,high,117182.22,phd,17,5015,2402,3.69,79.83,india,53.83
"administrator, sports",retail,decreasing,high,85952.52,phd,9,1819,8662,93.22,38.02,india,66.77
"engineer, biomedical",healthcare,decreasing,high,56873.31,master’s degree,14,7946,4048,55.63,63.56,australia,28.39
general practice doctor,manufacturing,decreasing,high,147631.5,high school,1,3681,710,50.05,22.72,india,21.54
english as a foreign language teacher,transportation,increasing,high,100630.31,phd,12,5543,460,51.2,29.65,usa,70.95
"engineer, agricultural",healthcare,increasing,moderate,118322.1,master’s degree,1,358,7211,49.12,5.27,germany,45.78
electronics engineer,finance,decreasing,moderate,123017.06,associate degree,7,6881,2072,39.12,99.8,usa,61.67
armed forces logistics/support/administrative officer,entertainment,decreasing,low,119907.28,associate degree,4,6582,2896,38.25,13.65,uk,31.26
consulting civil engineer,healthcare,decreasing,low,104277.25,phd,9,4931,2188,15.43,98.95,germany,20.86
counselling psychologist,education,decreasing,high,31242.9,associate degree,13,6991,9826,82.14,1.78,uk,64.48
sub,it,increasing,low,136725.47,high school,11,2213,3541,42.09,30.69,china,56.28
"accountant, chartered public finance",it,decreasing,low,38439.55,master’s degree,9,8477,9182,50.65,51.1,usa,76.6
colour technologist,entertainment,decreasing,moderate,75451.46,high school,18,6383,2864,30.09,83.36,canada,36.2
"production designer, theatre/television/film",entertainment,decreasing,moderate,144817.21,high school,14,6503,8040,77.35,91.15,brazil,25.89
oceanographer,finance,decreasing,moderate,70941.02,high school,2,4173,1551,37.43,33.83,india,78.7
technical author,retail,decreasing,moderate,117286.77,phd,20,8207,3741,16.33,42.52,brazil,72.01
arts administrator,finance,decreasing,low,124485.72,bachelor’s degree,14,9166,4595,33.15,6.12,brazil,22.74
"psychologist, counselling",manufacturing,increasing,moderate,38137.65,associate degree,7,823,5933,62.15,97.31,brazil,21.86
"therapist, occupational",it,increasing,low,98353.03,associate degree,11,5228,1996,77.05,83.31,uk,53.43
"engineer, mining",retail,decreasing,high,146604.36,associate degree,7,7248,8027,61.79,30.07,uk,67.91
video editor,it,increasing,high,92047.63,high school,19,9445,8213,83.74,5.11,brazil,76.08
diplomatic services operational officer,it,increasing,low,53970.05,phd,15,5995,2923,49.22,35.96,china,51.07
medical secretary,transportation,increasing,moderate,92499.25,phd,5,4862,6963,54.92,80.15,china,60.37
diplomatic services operational officer,retail,decreasing,moderate,144132.56,high school,4,7610,9979,38.43,71.88,uk,55.74
air cabin crew,finance,increasing,high,53525.01,master’s degree,14,7387,7496,11.59,49.71,china,33.82
armed forces training and education officer,transportation,increasing,high,70665.92,associate degree,7,4838,2319,36.97,50.56,canada,29.81
illustrator,education,increasing,moderate,78474.87,associate degree,14,5164,9205,18.12,29.75,brazil,21.03
clinical biochemist,retail,decreasing,moderate,127658.55,master’s degree,12,222,7814,81.77,41.18,australia,53.04
hospital doctor,healthcare,increasing,high,44006.24,phd,18,7496,7008,49.73,78.56,china,32.54
consulting civil engineer,retail,decreasing,high,72411.87,master’s degree,5,3166,5983,16.89,22.4,india,55.24
fashion designer,healthcare,increasing,low,104353.44,associate degree,3,3970,400,90.07,56.28,usa,77.83
theatre director,finance,increasing,low,144810.31,master’s degree,0,2109,1445,11.05,13.26,india,77.39
patent examiner,entertainment,decreasing,moderate,134172.04,master’s degree,8,5832,4314,28.42,3.36,india,41.49
television production assistant,retail,decreasing,low,129419.8,associate degree,1,5905,3964,73.87,16.4,canada,42.2
product designer,healthcare,increasing,moderate,124784.2,associate degree,0,2636,5378,66.98,94.24,australia,28.18
make,manufacturing,increasing,low,77401.74,high school,7,5563,9809,43.29,84.07,germany,29.93
textile designer,it,increasing,low,47261.4,master’s degree,14,8649,780,20.42,99.63,canada,21.24
"physicist, medical",manufacturing,increasing,high,101909.17,high school,2,7005,8482,20.91,32.46,brazil,68.01
risk analyst,manufacturing,increasing,moderate,39716.99,master’s degree,20,8742,9466,30.74,8.33,uk,77.03
equality and diversity officer,retail,increasing,low,37622.38,master’s degree,16,1639,6865,42.27,50.09,australia,34.84
"teacher, primary school",education,increasing,low,117348.95,associate degree,2,9593,4563,23.67,48.87,china,57.84
ophthalmologist,finance,increasing,moderate,116787.05,bachelor’s degree,9,557,5697,40.9,99.13,china,27.92
"engineer, control and instrumentation",entertainment,decreasing,low,96110.33,high school,1,7568,6471,0.88,64.14,uk,74.76
chief strategy officer,retail,decreasing,high,112458.47,master’s degree,15,2784,1276,72.44,14.8,china,36.39
microbiologist,entertainment,increasing,high,83153.02,associate degree,13,8847,831,43.97,9.57,usa,68.64
arboriculturist,education,increasing,moderate,68259.43,high school,18,6457,6754,68.12,97.05,australia,77.42
"therapist, speech and language",manufacturing,decreasing,moderate,98735.27,high school,13,8224,4685,85.67,49.97,usa,63.09
"doctor, hospital",retail,increasing,low,133303.54,bachelor’s degree,7,2969,7128,23.29,44.74,brazil,30.45
health and safety inspector,transportation,decreasing,moderate,66331.27,phd,3,9472,5080,91.68,85.53,usa,65.3
"editor, film/video",manufacturing,decreasing,high,101412.13,bachelor’s degree,2,7019,6018,87.42,54.37,brazil,59.26
hospital pharmacist,manufacturing,increasing,high,72961.92,phd,12,9876,5799,12.94,37.95,china,47.24
patent attorney,education,increasing,low,94726.02,master’s degree,17,5268,2594,72.74,32.79,brazil,39.84
it sales professional,manufacturing,increasing,moderate,54972.59,phd,6,9416,1735,48.34,66.41,australia,49.07
"nurse, children's",retail,decreasing,moderate,107804.4,associate degree,18,7528,9218,87.26,85.27,china,74.58
lexicographer,retail,increasing,moderate,62853.76,master’s degree,6,5520,8139,32.87,3.11,uk,35.9
medical illustrator,manufacturing,increasing,moderate,136390.86,high school,18,8812,9120,77.2,89.72,india,22.47
medical illustrator,transportation,increasing,moderate,40698.72,phd,19,4685,4566,66.93,57.03,india,55.31
equities trader,healthcare,increasing,moderate,71820.23,high school,8,884,5170,41.07,49.89,china,56.02
investment analyst,transportation,increasing,high,105513.63,bachelor’s degree,11,3256,9409,30.36,7.39,brazil,70.91
"psychologist, clinical",manufacturing,increasing,moderate,50066.64,bachelor’s degree,1,1124,2589,1.37,57.16,brazil,67.92
airline pilot,transportation,decreasing,high,53071.2,high school,8,2060,3332,89.49,23.71,germany,32.45
geoscientist,entertainment,increasing,high,49317.86,bachelor’s degree,0,7835,1185,75.62,25.73,usa,48.73
dentist,retail,decreasing,low,52531.6,high school,10,3547,3338,28.89,62.97,canada,49.19
broadcast engineer,entertainment,increasing,moderate,37412.16,bachelor’s degree,0,2949,8185,29.39,3.83,germany,41.02
fisheries officer,transportation,decreasing,high,122292.46,high school,20,1866,4345,23.94,66.77,australia,43.53
"presenter, broadcasting",entertainment,decreasing,high,48312.88,associate degree,20,4546,5403,9.04,0.2,germany,37.55
podiatrist,it,decreasing,moderate,60680.0,associate degree,14,165,5890,81.17,1.12,brazil,69.31
"chemist, analytical",retail,decreasing,low,32827.49,master’s degree,7,9828,6598,46.52,23.17,uk,71.48
chartered loss adjuster,entertainment,decreasing,high,135659.13,high school,4,3540,8082,53.81,69.45,usa,42.76
retail buyer,it,decreasing,moderate,102986.16,associate degree,13,7823,2483,95.34,80.15,uk,65.9
acupuncturist,entertainment,increasing,moderate,144413.84,high school,20,4056,9348,52.12,25.94,brazil,61.36
biomedical scientist,entertainment,increasing,moderate,137523.5,bachelor’s degree,17,7618,830,90.51,15.36,china,25.35
telecommunications researcher,education,increasing,high,65471.32,associate degree,11,2547,4029,79.9,32.62,canada,42.03
diagnostic radiographer,education,decreasing,low,123320.06,bachelor’s degree,19,2982,3669,78.6,44.73,brazil,57.27
"designer, blown glass/stained glass",transportation,increasing,low,57075.25,high school,1,5421,2414,98.25,49.68,germany,22.3
risk analyst,education,decreasing,low,142651.72,associate degree,15,3845,7224,26.54,31.52,canada,48.64
government social research officer,it,decreasing,low,119755.83,high school,8,1242,8229,40.99,74.37,uk,63.88
physiotherapist,entertainment,decreasing,high,148457.78,phd,1,9758,965,37.16,53.29,india,72.54
"doctor, general practice",education,decreasing,moderate,52591.3,master’s degree,13,9589,5952,32.64,38.33,germany,54.13
electrical engineer,transportation,decreasing,moderate,113565.19,high school,5,5565,6890,71.7,44.05,uk,40.01
higher education lecturer,finance,decreasing,moderate,135519.44,bachelor’s degree,8,5008,9120,20.96,86.34,india,79.13
trade mark attorney,manufacturing,increasing,high,110205.15,high school,4,2820,2827,82.07,6.11,china,21.0
marketing executive,transportation,increasing,moderate,119532.19,master’s degree,14,2572,9905,33.77,25.75,brazil,28.0
physiotherapist,entertainment,increasing,low,83190.97,high school,12,2313,5744,57.21,44.54,uk,52.06
best boy,retail,increasing,moderate,50520.73,high school,20,897,6077,55.84,55.84,uk,47.32
politician's assistant,it,decreasing,moderate,74901.06,high school,5,5635,4004,5.98,19.81,brazil,40.25
hydrologist,manufacturing,decreasing,high,52336.32,master’s degree,3,5741,328,74.9,47.1,brazil,30.53
textile designer,it,increasing,high,146719.03,master’s degree,0,4767,844,1.18,61.94,australia,39.65
radiation protection practitioner,it,decreasing,moderate,105026.99,bachelor’s degree,19,9124,8905,40.08,53.98,china,40.22
hotel manager,transportation,decreasing,low,54167.25,bachelor’s degree,12,8766,4995,1.04,65.93,brazil,52.24
"restaurant manager, fast food",manufacturing,decreasing,moderate,73561.9,associate degree,1,4533,7953,83.87,33.1,uk,39.25
"scientist, biomedical",education,increasing,low,80517.27,phd,1,477,6339,9.4,79.14,india,43.38
phytotherapist,manufacturing,decreasing,moderate,113455.33,associate degree,0,1175,5778,71.0,58.57,usa,68.05
farm manager,transportation,increasing,high,79840.39,associate degree,9,1655,7137,10.5,11.01,india,79.09
"producer, radio",retail,decreasing,high,140641.08,phd,8,2287,7991,62.39,35.13,uk,75.66
product manager,finance,decreasing,low,116879.44,associate degree,10,5471,6123,9.3,97.46,australia,40.9
"lighting technician, broadcasting/film/video",healthcare,increasing,low,32871.94,associate degree,16,7745,6451,34.02,34.64,china,64.72
risk analyst,finance,increasing,moderate,131667.48,associate degree,13,556,6116,88.14,89.38,usa,31.46
"development worker, community",healthcare,decreasing,low,106025.42,associate degree,12,7343,8289,68.1,14.79,australia,44.73
horticultural consultant,entertainment,decreasing,high,131398.74,phd,10,1546,9453,65.69,59.65,india,55.2
dietitian,it,decreasing,high,139342.97,bachelor’s degree,8,4977,537,23.42,86.59,india,26.19
patent examiner,it,decreasing,high,126638.81,high school,9,2323,3197,80.23,18.2,china,22.31
"investment banker, operational",retail,decreasing,moderate,84217.61,associate degree,14,1312,8308,26.97,29.77,china,63.53
it trainer,education,increasing,high,114358.96,bachelor’s degree,15,5488,3381,3.39,65.44,usa,39.0
set designer,entertainment,increasing,moderate,75763.68,master’s degree,7,5296,7577,62.23,77.93,uk,70.01
adult nurse,it,decreasing,high,56065.06,phd,18,526,7632,41.22,56.72,australia,77.87
"librarian, public",healthcare,increasing,low,133880.39,high school,9,1669,1537,76.46,78.06,australia,45.89
"scientist, clinical (histocompatibility and immunogenetics)",transportation,decreasing,low,136939.48,phd,4,9957,7972,15.75,30.59,china,53.94
"psychologist, forensic",healthcare,increasing,high,61386.35,associate degree,15,4912,9120,82.5,20.69,india,21.23
careers adviser,education,increasing,moderate,44296.1,master’s degree,14,9747,4373,92.74,15.84,china,64.74
"nurse, children's",transportation,increasing,high,88100.84,master’s degree,20,2122,1077,68.33,31.44,uk,25.79
media buyer,retail,decreasing,moderate,81379.89,bachelor’s degree,19,1066,4838,88.34,79.7,uk,51.36
aeronautical engineer,manufacturing,increasing,low,43952.27,master’s degree,17,9984,9717,1.65,6.93,brazil,49.39
"scientist, water quality",manufacturing,increasing,low,127656.52,associate degree,18,2070,8994,50.98,92.32,china,21.2
microbiologist,retail,decreasing,moderate,65032.71,phd,7,7633,6852,74.81,64.53,usa,36.3
"physicist, medical",it,decreasing,low,115538.45,master’s degree,20,4277,6823,65.55,3.71,india,49.02
advertising art director,transportation,increasing,moderate,125163.59,bachelor’s degree,19,3351,5985,40.11,66.38,india,45.41
copy,healthcare,increasing,high,106827.5,master’s degree,4,6001,1929,85.81,74.9,germany,20.95
landscape architect,it,decreasing,low,143709.43,bachelor’s degree,17,6512,4090,5.47,21.09,china,26.78
pension scheme manager,healthcare,decreasing,moderate,68757.17,bachelor’s degree,19,2146,7693,26.98,26.81,uk,74.76
armed forces logistics/support/administrative officer,manufacturing,increasing,low,87282.59,high school,3,9179,1909,34.11,54.82,china,43.6
press sub,finance,increasing,low,39436.39,phd,14,1240,1060,44.93,92.28,canada,66.37
artist,entertainment,decreasing,high,43011.07,bachelor’s degree,10,8601,513,2.86,59.77,australia,29.07
"merchandiser, retail",manufacturing,increasing,high,62451.11,bachelor’s degree,11,8666,2115,42.83,85.12,germany,49.87
best boy,healthcare,decreasing,low,77645.53,high school,18,8567,8316,76.88,25.2,australia,38.22
electronics engineer,healthcare,decreasing,low,41725.0,phd,20,8183,6802,34.12,79.22,brazil,76.95
general practice doctor,education,decreasing,moderate,110430.79,phd,13,4009,1563,59.25,73.24,india,70.51
"librarian, public",retail,decreasing,high,117488.31,associate degree,15,4403,3681,98.33,12.68,india,56.2
sports administrator,healthcare,increasing,low,44752.72,phd,16,4909,6944,0.41,77.45,china,44.3
"journalist, broadcasting",healthcare,decreasing,high,109827.33,associate degree,14,755,5481,99.34,26.19,usa,61.24
sport and exercise psychologist,healthcare,decreasing,high,116695.54,master’s degree,15,143,3248,44.83,15.81,canada,26.36
clinical embryologist,it,increasing,moderate,147772.84,bachelor’s degree,18,795,1203,9.63,19.14,australia,22.39
"therapist, speech and language",transportation,increasing,moderate,78381.2,associate degree,11,9016,4926,47.7,75.43,uk,62.15
"research officer, political party",finance,decreasing,moderate,46253.01,high school,18,7523,9441,54.64,55.66,canada,42.24
herpetologist,retail,increasing,high,145023.81,high school,4,246,5433,61.32,0.26,germany,73.82
personal assistant,retail,decreasing,high,82209.51,associate degree,15,1338,3987,44.63,19.5,australia,32.55
tourist information centre manager,retail,decreasing,low,87944.31,master’s degree,7,1496,4761,99.41,93.75,germany,40.17
"teacher, early years/pre",transportation,increasing,high,149935.75,bachelor’s degree,16,1485,1132,92.16,67.27,usa,45.59
retail merchandiser,manufacturing,increasing,moderate,64293.61,phd,12,5234,4424,79.54,8.69,germany,65.81
financial manager,manufacturing,decreasing,low,105354.3,bachelor’s degree,13,2934,4698,36.51,28.7,china,70.39
social researcher,finance,decreasing,high,123734.62,master’s degree,4,3866,4145,89.12,98.27,canada,79.02
race relations officer,entertainment,increasing,high,107676.2,high school,12,5107,3587,6.56,52.54,brazil,62.8
animal technologist,manufacturing,increasing,moderate,123717.03,bachelor’s degree,11,8607,2745,82.31,40.47,australia,70.33
quality manager,finance,decreasing,moderate,38516.5,master’s degree,7,2992,7170,52.08,50.07,uk,25.99
"investment banker, corporate",manufacturing,decreasing,moderate,40715.75,associate degree,0,4266,8099,18.48,82.08,australia,59.13
"pharmacist, community",retail,decreasing,high,136096.97,phd,12,9840,705,62.0,22.07,brazil,48.1
public house manager,transportation,decreasing,moderate,82791.93,master’s degree,7,3967,665,15.24,95.14,india,78.66
"civil engineer, consulting",it,decreasing,moderate,42594.31,associate degree,0,7040,2657,52.0,61.05,india,67.06
community pharmacist,education,increasing,high,78760.77,high school,18,6144,4272,77.05,31.43,canada,47.47
"therapist, drama",healthcare,decreasing,moderate,30098.98,bachelor’s degree,16,9789,5134,66.96,95.27,india,66.23
economist,education,increasing,high,41307.77,associate degree,9,8366,6024,88.28,18.96,usa,36.83
paediatric nurse,finance,increasing,moderate,46273.9,high school,4,1867,3187,54.27,5.59,usa,27.31
"nurse, learning disability",finance,decreasing,high,55522.61,phd,5,203,2022,75.43,8.74,china,68.78
sports development officer,finance,decreasing,low,50699.85,bachelor’s degree,1,5103,176,61.97,89.8,germany,69.58
fashion designer,finance,increasing,high,143296.68,master’s degree,10,4055,1452,56.43,92.56,uk,58.33
"optician, dispensing",retail,decreasing,moderate,43906.44,high school,15,8912,1718,86.06,58.76,australia,51.87
television floor manager,finance,increasing,high,95652.11,bachelor’s degree,5,3196,8195,61.03,1.29,germany,46.23
information officer,education,decreasing,high,118796.43,high school,20,3875,7465,10.01,60.19,usa,41.79
operations geologist,education,increasing,high,32985.48,bachelor’s degree,0,8467,1871,1.52,76.91,india,49.65
quantity surveyor,transportation,increasing,moderate,75685.52,high school,19,8335,9407,97.24,20.47,india,27.18
professor emeritus,retail,increasing,low,104667.47,high school,1,5252,4506,65.51,77.19,uk,53.23
writer,healthcare,decreasing,low,31864.68,bachelor’s degree,6,9378,7823,96.39,8.04,germany,32.99
environmental health practitioner,retail,decreasing,high,121092.09,phd,13,5641,2918,30.14,99.66,india,76.97
fitness centre manager,retail,decreasing,low,54713.66,associate degree,11,4973,3288,34.15,48.44,canada,20.6
"geologist, engineering",it,increasing,high,130897.33,phd,6,3429,3318,18.17,0.88,germany,30.87
chartered legal executive (england and wales),healthcare,increasing,low,58986.79,bachelor’s degree,2,7136,2126,35.67,24.87,usa,58.39
press sub,healthcare,increasing,moderate,104015.3,phd,1,4344,5178,11.96,71.96,uk,70.45
logistics and distribution manager,education,increasing,moderate,73749.48,master’s degree,2,7638,9015,29.52,58.36,usa,37.96
"biochemist, clinical",education,decreasing,high,113540.68,associate degree,13,1163,8256,9.87,24.37,uk,52.88
emergency planning/management officer,manufacturing,decreasing,low,37503.89,bachelor’s degree,8,3722,2955,56.71,24.4,uk,30.69
chartered accountant,manufacturing,decreasing,moderate,89719.99,phd,18,3439,3495,84.06,87.34,australia,59.92
management consultant,education,decreasing,low,65942.84,master’s degree,10,2832,8727,56.8,49.55,germany,63.1
air broker,entertainment,decreasing,moderate,114336.21,high school,17,8912,5872,21.69,1.07,australia,59.92
geographical information systems officer,retail,decreasing,high,44427.72,high school,10,1903,6794,9.74,10.59,brazil,52.08
associate professor,transportation,decreasing,high,144652.5,bachelor’s degree,15,8515,4196,45.34,15.88,uk,53.44
archivist,transportation,increasing,low,68205.58,phd,11,7908,3276,99.55,35.66,germany,67.96
paramedic,education,decreasing,low,77590.85,master’s degree,5,5731,4101,33.15,92.84,australia,31.22
"investment banker, operational",manufacturing,decreasing,low,71522.18,high school,14,3233,6015,43.2,37.37,canada,49.16
legal secretary,it,increasing,moderate,109619.51,high school,6,5142,1330,57.7,56.11,china,57.05
theatre director,finance,decreasing,low,126484.62,associate degree,8,4813,9639,51.53,52.34,china,41.09
cartographer,manufacturing,decreasing,low,68386.34,master’s degree,18,2902,9104,27.82,8.11,brazil,55.85
armed forces training and education officer,transportation,increasing,high,78419.58,bachelor’s degree,6,7469,6147,18.53,88.82,china,46.24
midwife,manufacturing,increasing,moderate,91644.71,associate degree,19,9910,960,39.51,14.27,uk,31.87
research scientist (medical),manufacturing,decreasing,low,139071.63,high school,19,3471,6430,35.73,19.02,australia,49.49
immigration officer,finance,decreasing,moderate,36168.21,bachelor’s degree,1,9377,4256,80.81,90.9,brazil,40.97
marketing executive,entertainment,decreasing,low,143971.82,phd,4,3884,5199,22.28,61.9,usa,30.81
chartered management accountant,transportation,increasing,high,124268.17,high school,14,3529,6502,45.68,89.51,uk,29.78
associate professor,finance,increasing,high,80798.65,high school,14,7926,2303,61.61,41.6,uk,60.56
tour manager,transportation,increasing,low,78021.14,bachelor’s degree,13,8297,7546,37.36,90.88,usa,47.44
community pharmacist,it,increasing,moderate,30926.98,bachelor’s degree,1,3143,4957,65.42,75.71,australia,47.22
optometrist,finance,increasing,moderate,49462.61,high school,19,2618,5195,23.14,69.25,uk,64.97
magazine features editor,finance,increasing,high,89652.65,master’s degree,9,8101,338,19.13,79.31,china,36.91
purchasing manager,retail,increasing,high,75097.63,master’s degree,11,736,980,54.08,84.25,canada,78.7
"research officer, trade union",transportation,decreasing,low,62280.01,high school,7,4624,7117,47.63,93.05,india,43.65
acupuncturist,it,increasing,low,131426.55,associate degree,1,9643,2937,91.64,44.71,australia,42.7
"education officer, environmental",transportation,increasing,low,52176.77,associate degree,8,7020,2151,51.42,34.74,canada,44.14
dancer,healthcare,decreasing,low,87914.12,bachelor’s degree,19,1752,7485,10.93,34.29,china,54.74
